"","time","A1","A2","A3","A4","A5","A6","F1","F2","F3","F4","F5","F6","L2","L3","L5","L6","L8","L9","blank"
"62",15.25,0.309325,0.31305,0.31545,0.317175,0.32485,0.325225,0.2882,0.29375,0.297575,0.2913,0.2978,0.29865,0.29185,0.29005,0.2937,0.29105,0.288325,0.29745,0.0875375
"63",15.5,0.309,0.3125,0.314575,0.3167,0.324575,0.325175,0.287775,0.292875,0.296175,0.290275,0.2972,0.298025,0.290525,0.28955,0.292425,0.290275,0.28815,0.296725,0.0875083333333333
"64",15.75,0.308925,0.31275,0.31455,0.316525,0.3246,0.325075,0.2872,0.292475,0.2956,0.29065,0.296425,0.2975,0.2899,0.289275,0.291675,0.288975,0.28755,0.295775,0.0874875
"65",16,0.308175,0.3127,0.314275,0.3161,0.323875,0.3245,0.286775,0.291525,0.294825,0.289225,0.2959,0.296425,0.289575,0.28865,0.29045,0.28875,0.2869,0.295075,0.0874666666666667
"66",16.25,0.3072,0.312225,0.31325,0.31585,0.3242,0.323675,0.2862,0.290325,0.29435,0.2885,0.295275,0.296025,0.28845,0.287825,0.2896,0.288675,0.2863,0.2937,0.0874666666666667
"67",16.5,0.30715,0.311025,0.313125,0.3155,0.32385,0.32325,0.28525,0.290625,0.294275,0.288225,0.294975,0.2953,0.28825,0.2871,0.2888,0.287975,0.28595,0.2944,0.0876083333333333
"68",16.75,0.307225,0.31045,0.312725,0.31535,0.32225,0.323275,0.284975,0.289175,0.2936,0.287425,0.29425,0.295275,0.287975,0.2868,0.288575,0.287,0.285175,0.2949,0.0874666666666667
"69",17,0.3063,0.30945,0.3119,0.314925,0.322125,0.32135,0.284725,0.289225,0.292575,0.287375,0.293725,0.294425,0.287625,0.286625,0.287875,0.2865,0.284875,0.292375,0.0875666666666667
"70",17.25,0.3055,0.310075,0.312725,0.3142,0.321675,0.321475,0.283725,0.288125,0.292425,0.287025,0.293225,0.294175,0.286125,0.285575,0.28715,0.28615,0.2841,0.2931,0.0874583333333333
"71",17.5,0.30465,0.3089,0.311425,0.313925,0.32115,0.320875,0.283625,0.28825,0.2913,0.287175,0.292375,0.2933,0.286,0.285,0.286475,0.286,0.283425,0.2922,0.08755
"72",17.75,0.30335,0.30865,0.3102,0.313425,0.32035,0.3203,0.282875,0.287125,0.29085,0.2852,0.292025,0.29295,0.285775,0.284375,0.2862,0.284575,0.282875,0.292275,0.0875041666666667
"73",18,0.30285,0.3079,0.310075,0.3127,0.32085,0.3209,0.282275,0.28705,0.29035,0.2853,0.291225,0.292225,0.2858,0.283625,0.2856,0.284625,0.28255,0.291975,0.08755
"74",18.25,0.302425,0.307475,0.310375,0.31185,0.32085,0.32005,0.281575,0.285975,0.28975,0.28425,0.290425,0.291625,0.2849,0.28385,0.2851,0.2842,0.281675,0.291825,0.0877958333333333
"75",18.5,0.301925,0.3066,0.30925,0.31165,0.3213,0.320225,0.2814,0.2859,0.289025,0.283875,0.290175,0.29255,0.2843,0.28305,0.2845,0.2833,0.280625,0.29135,0.0874
